handle,nome_canal,url,categoria,motivo_bloqueio,nivel_risco,alternativa_saudavel
@KondZilla,Canal KondZilla,https://www.youtube.com/@KondZilla,funk_brasileiro,Agregador de funk com letras sexualizadas e adultas,alto,Música instrumental e erudita
@GR6EXPLODE,GR6 Explode,https://www.youtube.com/@GR6EXPLODE,funk_brasileiro,Gravadora de funk com clipes de apelo sexual,alto,Música instrumental e erudita
@Anitta,Anitta,https://www.youtube.com/@Anitta,funk_pop,Cantora com letras sexualizadas e estética adulta,alto,Música brasileira de raiz
@Ludmilla,Ludmilla,https://www.youtube.com/@Ludmilla,funk_pop,Cantora com letras de duplo sentido e adultização,alto,Música brasileira de raiz
@MCKevinOChris,MC Kevin o Chris,https://www.youtube.com/@MCKevinOChris,funk_brasileiro,Funk com letras sexuais e apologia a consumo,alto,Música instrumental e erudita
@MCLivinho,MC Livinho,https://www.youtube.com/@MCLivinho,funk_brasileiro,Funk com letras explícitas e adultas,alto,Música instrumental e erudita
@mcdonjuan,MC Don Juan,https://www.youtube.com/@mcdonjuan,funk_brasileiro,Funk com conteúdo sexualizado,alto,Música instrumental e erudita
@MCHariel,MC Hariel,https://www.youtube.com/@MCHariel,funk_brasileiro,Funk com letras adultas e consumo,alto,Música instrumental e erudita
@mcpozedorodo,MC Poze do Rodo,https://www.youtube.com/@mcpozedorodo,funk_brasileiro,Funk com apologia a ostentação e sexualização,alto,Música instrumental e erudita
@mcryansp,MC Ryan SP,https://www.youtube.com/@mcryansp,funk_brasileiro,Funk com letras adultas e ostentação,alto,Música instrumental e erudita
@mcbinladen,MC Bin Laden,https://www.youtube.com/@mcbinladen,funk_brasileiro,Funk com letras sexuais e adultas,alto,Música instrumental e erudita
@GusttavoLima,Gusttavo Lima,https://www.youtube.com/@GusttavoLima,sertanejo,Sertanejo com letras de bebida e adultização,medio,Música brasileira de raiz
@mariliamendonca,Marília Mendonça,https://www.youtube.com/@mariliamendonca,sertanejo,Sertanejo com temas de traição e bebida,medio,Música brasileira de raiz
@MaiaraeMaraisa,Maiara e Maraisa,https://www.youtube.com/@MaiaraeMaraisa,sertanejo,Sertanejo com letras de bebida e adultização,medio,Música brasileira de raiz
@HenriqueeJuliano,Henrique e Juliano,https://www.youtube.com/@HenriqueeJuliano,sertanejo,Sertanejo com letras adultas e consumo,medio,Música brasileira de raiz
@jorgeemateus,Jorge e Mateus,https://www.youtube.com/@jorgeemateus,sertanejo,Sertanejo com letras de relacionamento adulto,medio,Música brasileira de raiz
@wesleysafadao,Wesley Safadão,https://www.youtube.com/@wesleysafadao,forro_sertanejo,Forró/sertanejo com letras de duplo sentido,medio,Música brasileira de raiz
@zeNetoeCristiano,Zé Neto e Cristiano,https://www.youtube.com/@zeNetoeCristiano,sertanejo,Sertanejo com letras de bebida e adultização,medio,Música brasileira de raiz
@LuanSantana,Luan Santana,https://www.youtube.com/@LuanSantana,sertanejo,Sertanejo com temas de namoro e adultização,medio,Música brasileira de raiz
@NaiaraAzevedo,Naiara Azevedo,https://www.youtube.com/@NaiaraAzevedo,sertanejo,Sertanejo com letras de traição e bebida,medio,Música brasileira de raiz
