handle,nome_canal,url,categoria,motivo_bloqueio,nivel_risco,alternativa_saudavel
@DuoExplica,Duo Explica,https://www.youtube.com/@DuoExplica,namoro_relacionamento,Casal que explica relação amorosa - incentiva namoro precoce,alto,Histórias animadas educativas
@v1ck_arts,V1CK Arts,https://www.youtube.com/@v1ck_arts,adultizacao_arte,Arte/desenho misturado com estética e temas adultos,medio,Desenho e arte infantil
@GarotaRadiante,Garota Radiante,https://www.youtube.com/@GarotaRadiante,adultizacao,Estética de menina empoderada com beleza e paquera,alto,Alimentação saudável e culinária
@heygirlcanal,Hey Girl,https://www.youtube.com/@heygirlcanal,adultizacao,Lifestyle feminino precoce com consumo e estética adulta,alto,Conteúdo educativo e ciência
@ellelifeTV,Elle Life TV,https://www.youtube.com/@ellelifeTV,adultizacao,Lifestyle feminino que adultiza a rotina infantil,alto,Histórias animadas
@Biachinin,Bia Chinin,https://www.youtube.com/@Biachinin,adultizacao_sexualizacao,Influencer mirim com apelo visual e pauta adulta,alto,Desenho e arte
@Carlosdiscord,Carlos Discord,https://www.youtube.com/@Carlosdiscord,derrete_cerebro,Comunidade gamer/Discord com desafios e gritaria sem valor,medio,Jogos educativos e lógica
@drawntoyoufilm,Drawn To You Film,https://www.youtube.com/@drawntoyoufilm,adultizacao_romance,Animação com enredo de romance e paquera,medio,Histórias animadas com moral
@felca,Felca,https://www.youtube.com/@felca,derrete_cerebro,Humor ácido ironia e piadas adultas,alto,Canais de filosofia e pensamento crítico
@Orochinho,Orochinho,https://www.youtube.com/@Orochinho,derrete_cerebro,Humor negro e conteúdo sexualizado,alto,Canais de filosofia e pensamento crítico
@MaiconKuster,Maicon Küster,https://www.youtube.com/@MaiconKuster,derrete_cerebro,Piadas adultas e de duplo sentido,alto,Canais de filosofia e pensamento crítico
@CanalCanalha,Canal Canalha,https://www.youtube.com/@CanalCanalha,derrete_cerebro,Humor adulto e sarcasmo pesado,alto,Canais de filosofia e pensamento crítico
@Enaldinho,Enaldinho,https://www.youtube.com/@Enaldinho,derrete_cerebro,Desafios e pegadinhas viciantes sem valor educativo,alto,Experiências científicas
@rezendeevil,Rezende,https://www.youtube.com/@rezendeevil,derrete_cerebro,Pegadinhas desafios e consumo excessivo,alto,Experiências científicas
@LuvaDePedreiro,Luva de Pedreiro,https://www.youtube.com/@LuvaDePedreiro,derrete_cerebro,Fórmula repetitiva de comemorações que vicia o algoritmo,medio,Esportes e atividades físicas
@Malena010102,Malena,https://www.youtube.com/@Malena010102,derrete_cerebro,Gamer com reações exageradas e comunidade tóxica,medio,Jogos educativos e lógica
@LorelayFox,Lorelay Fox,https://www.youtube.com/@LorelayFox,pauta_lgbt_genero,Maquiagem misturada com pauta de gênero e identidade,alto,Artes manuais e artesanato
@PortaDosFundos,Porta dos Fundos,https://www.youtube.com/@PortaDosFundos,conteudo_adulto,Sátiras com temas sexuais e adultos,alto,Humor limpo e esquetes educativos
@WhinderssonNunes,Whindersson Nunes,https://www.youtube.com/@WhinderssonNunes,conteudo_adulto,Stand-up com piadas adultas,medio,Comédia limpa
@VihTube,Vih Tube,https://www.youtube.com/@VihTube,adultizacao,Influencer pré-adolescente com vlogs de consumo e estética,alto,Conteúdo educativo e ciência
@BiancaAndrade,Bianca Andrade (Boca Rosa),https://www.youtube.com/@BiancaAndrade,adultizacao_beauty,Maquiagem e moda voltadas ao consumo e estética adulta,medio,Artes manuais e artesanato
@NiinaSecrets,Niina Secrets,https://www.youtube.com/@NiinaSecrets,adultizacao_beauty,Beleza e consumo com estética adulta,medio,Artes manuais e artesanato
